Segmento;Rama / Tipo;Nombre del producto;Lema;Descripción;Estado;Demo;Link App;GitHub
"PÚBLICO
(Educación y Salud)";"Simuladores &
Comunicación Política";PitchLab360;"Analiza el discurso,
mejora el mensaje";Análisis de discurso político con Claude (Anthropic). Perfil comunicativo, análisis emocional, stakeholders, encuadres narrativos y potencial digital.;En línea;Mostrar;https://pitchlab360-production.up.railway.app/;https://github.com/Juansotag/PitchLab360
"PÚBLICO
(Educación y Salud)";"Simuladores &
Comunicación Política";Polycheck;"Verifica en tiempo real,
no después";Extensión de Chrome para fact-checking en tiempo real sobre videos de YouTube. GPT-4o + Gemini + Google Search. Análisis forense del discurso político.;En línea;Mostrar;NA;https://github.com/Juansotag/Polycheck
"PÚBLICO
(Educación y Salud)";"Simuladores &
Comunicación Política";Test Dilema;"Descubre tu candidato
con datos";Test de afinidad política por dilemas de política pública. 16 preguntas, 14 candidatos 2026, 7 arquetipos de votante. Tarjeta viral descargable.;En línea;Mostrar;https://convergencia-electoral.up.railway.app/;https://github.com/GovLabSabana/test-dilema
"PÚBLICO
(Educación y Salud)";"Simuladores &
Comunicación Política";Test 9 Ejes;"Tu posición en 9 ejes,
tu candidato en un clic";Test de afinidad política por 9 ejes ideológicos. Algoritmo euclidiano, ranking de candidatos, perfil personalizado y persistencia en Supabase.;En línea;Mostrar;https://test9ejes.up.railway.app/;https://github.com/GovLabSabana/Test_9ejes
"PÚBLICO
(Educación y Salud)";"Simuladores &
Comunicación Política";Test 9 Ejes Colombia;"50 preguntas,
un perfil ideológico";Versión extendida del test con 50 preguntas coyunturales sobre Colombia. Modo oscuro glassmorphism, compartir en alta resolución, datos anónimos en Supabase.;En línea;Mostrar;https://test9col.up.railway.app/;https://github.com/GovLabSabana/Test_9ejesColombia
"PÚBLICO
(Educación y Salud)";"Matching &
Análisis Estratégico";SCS_V2;"Conecta proyectos
con planes de desarrollo";Matching entre proyectos estratégicos de Sabana Centro y planes de desarrollo municipales. Scoring semántico con IA: especificidad, visión regional e impacto.;En línea;Hablar;NA;https://github.com/GovLabSabana/SCS_V2
OTRAS INDUSTRIAS;"Asistentes de Voz
con IA";ConvergenceLab;"Habla con la universidad,
ella te escucha";Asistente de voz en tiempo real para el Convergence Lab de la Unisabana. LiveKit Agents + OpenAI Realtime API + Silero VAD. Frontend Next.js.;En línea;Mostrar;https://convergencelab.up.railway.app/;https://github.com/GovLabSabana/ConvergenceLAb
OTRAS INDUSTRIAS;"Asistentes de Voz
con IA";Santander (Govi);"Un asistente público
para cada ciudadano";Asistente de voz conversacional para el sector público. Procesamiento de PQRS, visualización de datos, interfaz para funcionarios. OpenAI Realtime + LiveKit.;En línea;Mostrar;NA;https://github.com/GovLabSabana/Santander
OTRAS INDUSTRIAS;"Asistentes de Voz
con IA";Asistente de Campaña;"La campaña que llama,
nunca la que cansa";Video de muestra con Dapta para llamadas de voz automatizadas a ciudadanos con preguntas sobre candidatos políticos.;NA;Mostrar;NA;NA
OTRAS INDUSTRIAS;"ChatBots &
Automatización";TermoExportador;"¿Listo para exportar?
Descúbrelo hoy";Plataforma con termómetro interactivo que evalúa el nivel de preparación exportadora de empresas. Diagnóstico por dimensiones con IA. Next.js + FastAPI + Supabase.;En línea;Mostrar;https://exporta-facil-bot-production-e49c.up.railway.app/;https://github.com/GovLabSabana/TermoExportador
OTRAS INDUSTRIAS;"ChatBots &
Automatización";Universia;"Mide tu sostenibilidad,
mejora tu ranking";Sistema de evaluación universitaria en dimensiones Gobernanza, Social y Ambiental (ESG). Dashboard comparativo entre instituciones. React + Node + Supabase.;En línea;Hablar;https://bot-sostenibilidad-esg.up.railway.app/;https://github.com/GovLabSabana/Universia
OTRAS INDUSTRIAS;"Inteligencia
Geoespacial";Geovivienda;"Ubica, analiza y decide
dónde vivir";Plataforma inmobiliaria con análisis geoespacial: scraping de FincaRaíz, distancias a Transmilenio/SITP/ciclorutas, estrato promedio 200m, mapa interactivo con Leaflet.;En línea;Hablar;https://geovivienda-production.up.railway.app/;https://github.com/GovLabSabana/Geovivienda
OTRAS INDUSTRIAS;"Analítica de Datos
& ML";Data Copilot;"Pregúntale a tus datos
con tu propia voz";Asistente de análisis de datos con LangChain + GPT-4 + Whisper. Acepta CSV/Excel, genera gráficos interactivos con Plotly, responde por texto y por voz (TTS).;En línea;Hablar;https://datacopilot.up.railway.app/;https://github.com/GovLabSabana/Data_copilot
OTRAS INDUSTRIAS;"Analítica de Datos
& ML";HassApp;"Del campo al mundo,
con datos";Plataforma integral para gestión de producción, cosecha, insumos y exportación de aguacate Hass. FastAPI + React + MySQL + AWS S3.;En línea;Hablar;https://heartfelt-success-production-8486.up.railway.app/;https://github.com/GovLabSabana/HassApp
OTRAS INDUSTRIAS;"Gestión Documental
con IA";NotariaDoc;"El borrador perfecto,
sin esperas";MVP para construir borradores de escrituras, análisis de cumplimiento y chat IA para notarías.;En línea;Mostrar;https://notariadoc-production.up.railway.app/;https://github.com/GovLabSabana/NotariaDoc
OTRAS INDUSTRIAS;"Gestión Documental
con IA";NotariaIQ;"Control total de la
notaría en un panel";Panel de control para notarías: seguimiento de usuarios, tiempos de espera, ingresos, egresos, análisis descriptivo y pronóstico.;En línea;Mostrar;https://notariaiq-production.up.railway.app/;https://github.com/GovLabSabana/NotariaIQ
OTRAS INDUSTRIAS;"Gestión Documental
con IA";Radica Notaría;"Radica, revisa y aprueba
sin papel";Suite de automatización documental para la Notaría Segunda de Zipaquirá. Formulario para constructoras + panel de digitadora con flujo de aprobación de escrituras.;En línea;Mostrar;https://radicanotaria-production.up.railway.app/;https://github.com/GovLabSabana/Radica_notaria
TRANSVERSAL;"Formación
Profesional en IA";Doctorado en IA;"Investiga el futuro,
lidera el cambio";Programa doctoral de investigación en inteligencia artificial. Enfocado en soluciones para el sector público y políticas basadas en evidencia.;Activo;Mostrar;NA;NA
TRANSVERSAL;"Formación
Profesional en IA";Maestría en IA;"Domina la IA,
transforma tu sector";Programa de posgrado en inteligencia artificial con énfasis en aplicaciones para gobierno, política pública y gestión organizacional.;Activo;Mostrar;NA;NA
TRANSVERSAL;"Formación
Profesional en IA";Pregrado en IA;"Aprende IA desde
la raíz";Programa de pregrado en inteligencia artificial de la Universidad de La Sabana. Formación integral en datos, modelos y aplicaciones.;Activo;Mostrar;NA;NA
TRANSVERSAL;"Formación
Profesional en IA";Bootcamps en IA;"Habilidades reales,
en tiempo récord";Programas de formación técnica intensiva en IA para profesionales y equipos. Orientados a aplicaciones prácticas en distintos sectores.;Activo;Mostrar;NA;NA
